Date,VFV.TO,VDY.TO,VMO.TO,FCUV.TO,FCUQ.TO,INAI.TO,MNT.TO
2020-10-26,74.67803955078125,23.474048614501953,36.540714263916016,8.205948829650879,34.06568908691406,,29.59000015258789
2020-10-27,74.37789916992188,23.17721176147461,36.61773681640625,8.044678688049316,33.944889068603516,,29.88999938964844
2020-10-28,72.45513916015625,22.65574836730957,36.22296142578125,8.044678688049316,33.119415283203125,,29.940000534057617
2020-10-29,73.45872497558594,22.9124698638916,36.58885192871094,7.93716287612915,33.39122009277344,,29.579999923706055
2020-10-30,72.48328399658203,22.884307861328125,35.48155975341797,7.93716287612915,33.14961624145508,,29.850000381469727
2020-11-02,72.8396987915039,22.948673248291016,35.616355895996094,7.93716287612915,33.340885162353516,,29.969999313354492
2020-11-03,73.76823425292969,23.246397018432617,36.08816146850586,7.93716287612915,33.82408142089844,,29.540000915527344
2020-11-04,75.36272430419922,23.342952728271484,37.2821159362793,7.93716287612915,34.50861740112305,,28.5
2020-11-05,76.29129028320312,23.391237258911133,38.04277801513672,7.93716287612915,34.89115905761719,,29.940000534057617
2020-11-06,76.20687103271484,23.20616340637207,38.22572708129883,8.247060775756836,34.901222229003906,,29.940000534057617
2020-11-09,76.91031646728516,24.36486053466797,37.70577621459961,8.553794860839844,34.88108825683594,,28.520000457763672
2020-11-10,77.051025390625,25.048818588256836,36.791053771972656,8.553794860839844,34.911285400390625,,28.59000015258789
2020-11-11,77.75443267822266,25.20974349975586,37.50357818603515,8.556957244873047,35.38441467285156,,28.469999313354492
2020-11-12,77.39805603027344,24.783281326293945,37.45542907714844,8.556957244873047,35.1830940246582,,28.5
2020-11-13,78.52355194091797,24.855714797973633,37.840576171875,8.556957244873047,35.52536392211914,,28.59000015258789
2020-11-16,79.11444091796875,25.37067985534668,37.917606353759766,8.556957244873047,35.998497009277344,,28.270000457763672
2020-11-17,78.78617858886719,25.628164291381836,38.129432678222656,8.74985122680664,35.85755920410156,,27.149999618530273
2020-11-18,77.74507904052734,25.70058250427246,37.917606353759766,8.74985122680664,35.615962982177734,,25.920000076293945
2020-11-19,77.98893737792969,25.70863151550293,38.273868560791016,8.74985122680664,35.47502899169922,,25.690000534057617
2020-11-20,77.56684112548828,25.87761116027832,38.29312515258789,8.74985122680664,35.4850959777832,,26.219999313354492
2020-11-23,78.02645874023438,26.28797721862793,38.85158157348633,8.74985122680664,35.454891204833984,,25.540000915527344
2020-11-24,78.77677917480469,26.915607452392575,38.69752883911133,8.74985122680664,35.626033782958984,,24.700000762939453
2020-11-25,78.63610076904297,26.891462326049805,38.88047409057617,8.813096046447754,35.60588836669922,,24.469999313354492
2020-11-26,78.72052764892578,26.907562255859375,39.03453063964844,8.806775093078613,35.60588836669922,,24.579999923706055
2020-11-27,78.9831314086914,26.996082305908203,39.33301544189453,8.806775093078613,35.83741760253906,,24.520000457763672
2020-11-30,78.42977142333984,26.394611358642575,39.33301544189453,8.715065002441406,35.53541946411133,,24.350000381469727
2020-12-01,79.03004455566406,26.55630111694336,39.4100456237793,8.715065002441406,35.817298889160156,,25.280000686645508
2020-12-02,79.07695007324219,26.67756462097168,39.159698486328125,8.784635543823242,35.65623092651367,,25.489999771118164
2020-12-03,78.64547729492188,26.79073715209961,39.20784759521485,8.784635543823242,35.626033782958984,,25.86000061035156
2020-12-04,78.83308410644531,27.089845657348633,39.22710037231445,8.784635543823242,35.60588836669922,,25.56999969482422
2020-12-07,78.81431579589844,27.057512283325195,39.477447509765625,8.781474113464355,35.67635726928711,,25.600000381469727
2020-12-08,79.1894760131836,27.15452003479004,39.92036437988281,8.781474113464355,35.817298889160156,,25.350000381469727
2020-12-09,78.55169677734375,27.283872604370117,39.41967010498047,8.781474113464355,35.63609313964844,,25.1299991607666
2020-12-10,77.99832916259766,27.364709854125977,39.5063362121582,8.781474113464355,35.37435531616211,,25.0
2020-12-11,77.99832916259766,27.31620216369629,39.4967041015625,8.781474113464355,35.4448356628418,,24.739999771118164
2020-12-14,77.61376953125,26.97666931152344,39.82407760620117,8.781474113464355,35.42470169067383,,24.200000762939453
2020-12-15,78.20466613769531,27.04943084716797,39.968509674072266,8.781474113464355,35.666290283203125,,25.059999465942383
2020-12-16,78.72052764892578,26.952423095703125,40.1995964050293,8.771986961364746,35.938106536865234,,25.270000457763672
2020-12-17,79.05817413330078,26.8715763092041,40.9217414855957,8.771986961364746,36.14949417114258,,25.549999237060547
2020-12-18,79.17073059082031,26.742237091064453,41.0661735534668,8.775150299072266,36.07902526855469,,25.469999313354492
2020-12-21,79.30206298828125,26.52395820617676,41.29725646972656,8.775150299072266,36.36089324951172,,25.5
2020-12-22,79.38645935058594,26.394611358642575,41.75943756103515,8.775150299072266,36.542091369628906,,25.420000076293945
2020-12-23,79.11444091796875,26.661394119262695,41.75943756103515,8.775150299072266,36.32062530517578,,26.0
2020-12-24,79.1894760131836,26.66946601867676,41.66314697265625,8.846558570861816,34.900333404541016,,25.8700008392334
2020-12-29,79.68659973144531,26.629060745239254,40.99877166748047,8.846558570861816,34.900333404541016,,25.920000076293945
2020-12-30,79.46647644042969,26.61445426940918,41.27998733520508,8.846558570861816,34.88090896606445,,26.350000381469727
2020-12-31,79.74869537353516,26.56578826904297,40.96968078613281,8.846558570861816,34.96833038330078,,26.350000381469727
2021-01-04,78.87377166748047,26.63878631591797,41.07635116577149,8.846558570861816,34.59921646118164,,26.920000076293945
2021-01-05,78.81733703613281,27.068700790405273,41.35755920410156,8.846558570861816,34.5020751953125,,26.950000762939453
2021-01-06,79.25006866455078,27.466175079345703,41.7066535949707,8.846558570861816,34.91975402832031,,26.459999084472656
2021-01-07,80.51069641113281,27.72576141357422,42.51150131225586,8.846558570861816,35.23059844970703,,26.399999618530273
2021-01-08,81.0845718383789,27.68520736694336,42.71513366699219,9.190858840942385,35.49285125732422,,25.84000015258789
2021-01-11,81.05636596679688,27.67708396911621,42.976951599121094,9.273743629455566,35.6385498046875,,27.0
2021-01-12,80.68003845214844,27.89610290527344,43.19998550415039,9.26736831665039,35.580284118652344,,27.200000762939453
2021-01-13,80.8211669921875,27.904207229614254,43.04483413696289,9.26736831665039,35.45400619506836,,27.0
2021-01-14,80.12498474121094,28.123233795166016,43.170894622802734,9.26736831665039,35.17231369018555,,26.90999984741211
2021-01-15,80.15321350097656,28.08266830444336,42.850887298583984,9.26736831665039,35.201454162597656,,26.3799991607666
2021-01-18,80.49188232421875,28.001541137695312,43.03513717651367,9.283308029174805,35.13344955444336,,25.75
2021-01-19,80.77413940429688,28.0988826751709,43.19998550415039,9.283308029174805,35.52198791503906,,25.649999618530273
2021-01-20,81.35739135742188,28.025888442993164,43.24847030639648,9.283308029174805,35.60940933227539,,25.979999542236328
2021-01-21,81.26331329345703,27.904207229614254,43.56846618652344,9.283308029174805,35.473419189453125,,26.209999084472656
2021-01-22,81.63020324707031,27.709531784057617,43.92725372314453,9.283308029174805,35.67741394042969,,25.600000381469727
2021-01-25,82.03473663330078,27.709531784057617,43.975738525390625,9.283308029174805,35.69683074951172,,25.75
2021-01-26,81.60198211669922,27.604076385498047,43.63634490966797,9.235488891601562,35.65798568725586,,26.0
2021-01-27,80.1438217163086,27.19849395751953,42.65695571899414,9.162166595458984,35.05575180053711,,26.209999084472656
2021-01-28,81.00930786132812,27.458070755004883,43.28725814819336,9.2322998046875,35.35686111450195,,26.329999923706055
2021-01-29,79.30652618408203,26.96578025817871,42.472713470458984,9.2322998046875,34.6186408996582,,26.100000381469727
2021-02-01,81.10337829589844,27.218027114868164,43.78179931640625,9.123909950256348,35.35686111450195,,26.81999969482422
2021-02-02,81.85601043701172,27.486547470092773,44.44119644165039,9.123909950256348,35.69683074951172,,26.100000381469727
2021-02-03,81.79954528808594,27.61674118041992,44.53816223144531,9.235488891601562,35.52198791503906,,26.149999618530273
2021-02-04,82.90965270996094,27.860849380493164,44.9648323059082,9.363007545471191,36.153358459472656,,25.600000381469727
2021-02-05,82.89083099365234,27.909671783447266,45.09089279174805,9.363007545471191,36.11450958251953,,25.700000762939453
2021-02-08,83.3141860961914,28.153772354125977,45.75028610229492,9.363007545471191,36.163082122802734,,25.690000534057617
2021-02-09,82.98490905761719,28.09681701660156,45.95391845703125,9.363007545471191,36.24078750610352,,25.219999313354492
2021-02-10,82.96610260009766,28.09681701660156,45.75998306274414,9.363007545471191,36.299068450927734,,25.350000381469727
2021-02-11,83.12603759765625,28.12936210632324,46.04119873046875,9.363007545471191,36.35735702514648,,25.420000076293945
2021-02-12,83.56819915771484,28.267688751220703,46.39028549194336,9.363007545471191,36.541900634765625,,25.100000381469727
2021-02-16,83.3612289428711,28.389751434326172,46.1866455078125,9.363007545471191,36.48362350463867,,25.0
2021-02-17,83.45531463623047,28.44671058654785,45.64362335205078,9.40126132965088,36.435054779052734,,24.68000030517578
2021-02-18,82.91905975341797,28.471115112304688,45.08119583129883,9.359820365905762,36.279640197753906,,24.489999771118164
2021-02-19,82.44869232177734,28.57689666748047,45.575740814208984,9.337502479553224,36.007659912109375,,24.200000762939453
